# First column:  ShaderToy ID
# Second Column: Friendly file name

XsVSW1 Fisheye
MlBSWW SimpleSobel
MtXXRf ngMir7
XtlSzX ngMir8
MtBGDR ngMir1
Xl23WR ngMir2
MdGSWD PredatorThermalVision
lssSDH NoisyMirror
4djGzz RippleCam
MdGXDy InvertLuma
4scGDr FakeTV
MscGW4 Matrix89
llS3Rc VideoColorSnapshots
XddGR7 CMYKHalftone
XsdGD8 LineDithered
MlXXRB Glitch
MdlGRB CRT
XssGD7 EdgeGlow
lsG3Wy PixelLate
XdyGWm HueRotator
lt2XDz CamMultiply
XscSWH Qbert
MdSGRh Drunk
XtSGWW RotoZoomer
Mdf3zr EdgeGlow2
Xss3zr Heightfield
Mds3zn ChromaticAberration
MslGzr BlueOrange
XsX3z8 VideoFilters
XslGz8 BarrelBlur
4dl3z8 RadialChromaBlur
Xsl3z8 ColorZebra
4ssGR8 SoftThreshold
Xss3RH Hologram
4dlGzH Hologram2
MssGR8 BasicEdgeDetection
4sX3RN NoiseWarp
XdXGz4 SeparateRGB
Xsf3RN NightVision
lsf3z4 BadTV
Mdl3z4 BoxFilterEdgeDetection
4sf3Dr CRTEffect
MdX3Dr Crosshatch
4dlGDr BoxBlur
XslGDr GlowHack
lssGDj AsciiArt
Xds3W8 SimpleConvolve
Xdl3D8 OldVideo
XdfGDN WobblyChrome
4sX3WN FunWithDerivatives
ldXGW4 DistortedTV
